Product,Network,CPU,User State,Browser,Metric Name,Metric Description,Iterations,Unit,Min,Max,Mean,Count
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,27.7; 30.8; 26.1; 38.3,ms,26.1,38.3,30.72,4
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,3893.6; 3892.1; 2898.5; 3889,ms,2898.5,3893.6,3643.3,4
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,3921.3; 3922.9; 2924.6; 3927.3,ms,2924.6,3927.3,3674.02,4
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,4024.2; 4027.7; 3027.8; 4033.6,ms,3027.8,4033.6,3778.32,4
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,102.9; 104.8; 103.2; 106.3,ms,102.9,106.3,104.3,4
MagicCheckout,slow_4g,4x_slowdown,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,69.5; 75.9; 67.9; 73.7,ms,67.9,75.9,71.75,4
MagicCheckout,slow_4g,4x_slowdown,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,2925.8; 2917.6; 2897.1; 3909.6,ms,2897.1,3909.6,3162.52,4
MagicCheckout,slow_4g,4x_slowdown,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,2995.3; 2993.5; 2965; 3983.3,ms,2965,3983.3,3234.28,4
MagicCheckout,slow_4g,4x_slowdown,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,3097.5; 3123.7; 3097.7; 4085,ms,3097.5,4085,3350.98,4
MagicCheckout,slow_4g,4x_slowdown,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,102.2; 130.2; 132.7; 101.7,ms,101.7,132.7,116.7,4
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,30.9; 32.9; 34.5; 37.8,ms,30.9,37.8,34.03,4
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,862.8; 1873.2; 863.4; 1901.5,ms,862.8,1901.5,1375.22,4
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,893.7; 1906.1; 897.9; 1939.3,ms,893.7,1939.3,1409.25,4
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,1114.4; 2011.2; 999.9; 2046.2,ms,999.9,2046.2,1542.92,4
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,220.7; 105.1; 102; 106.9,ms,102,220.7,133.68,4
MagicCheckout,no_throttling,4x_slowdown,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,96.3; 95.1; 91.6; 92.6,ms,91.6,96.3,93.9,4
MagicCheckout,no_throttling,4x_slowdown,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,1040.9; 978.4; 1921.9; 1049.5,ms,978.4,1921.9,1247.67,4
MagicCheckout,no_throttling,4x_slowdown,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,1137.2; 1073.5; 2013.5; 1142.1,ms,1073.5,2013.5,1341.57,4
MagicCheckout,no_throttling,4x_slowdown,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,1246.5; 1195.6; 2122.7; 1249.1,ms,1195.6,2122.7,1453.47,4
MagicCheckout,no_throttling,4x_slowdown,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,109.3; 122.1; 109.2; 107,ms,107,122.1,111.9,4
