Product,Network,CPU,User State,Browser,Metric Name,Metric Description,Iterations,Unit,Min,Max,Mean,Count
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,75.6; 95.9; 74.9; 98.2; 82.3; 65.2; 65.3; 85.4; 60.5; 71.4; 81.9; 79.9; 68.6; 75.1; 65.5; 71.2; 63.3; 75.8; 78.9; 72.1,ms,60.5,98.2,75.35,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,2870; 3933.2; 2869.4; 2868.6; 2870; 2870.9; 2867.2; 2872.4; 2870.2; 2871.4; 2875.7; 2875.5; 2882.3; 2873.5; 2873.1; 2876.7; 2872.4; 2875.6; 2876.6; 2875.1,ms,2867.2,3933.2,2925.99,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,2945.6; 4029.1; 2944.3; 2966.8; 2952.3; 2936.1; 2932.5; 2957.8; 2930.7; 2942.8; 2957.6; 2955.4; 2950.9; 2948.6; 2938.6; 2947.9; 2935.7; 2951.4; 2955.5; 2947.2,ms,2930.7,4029.1,3001.34,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,3047.2; 4131.6; 3046.1; 3068.5; 3053.9; 3038.6; 3034.3; 3059.9; 3031.8; 3043.6; 3059.2; 3057.4; 3053.8; 3050.1; 3039.7; 3049.2; 3037.5; 3053.3; 3057.8; 3049,ms,3031.8,4131.6,3103.12,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,101.6; 102.5; 101.8; 101.7; 101.6; 102.5; 101.8; 102.1; 101.1; 100.8; 101.6; 102; 102.9; 101.5; 101.1; 101.3; 101.8; 101.9; 102.3; 101.8,ms,100.8,102.9,101.78,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,83.7; 71.1; 73.6; 76.3; 81.5; 80.5; 78; 75.9; 78.3; 75.9; 77.1; 71.6; 78.5; 79.7; 86.3; 87.7; 81.5; 83.3; 82.2; 70.8,ms,70.8,87.7,78.68,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,998.4; 862.1; 1044.1; 866.9; 862.3; 899.1; 928.9; 918.1; 875.5; 1865.9; 1867.8; 1866.5; 862.6; 867.6; 961.7; 953.2; 916.6; 861.6; 949.5; 979.4,ms,861.6,1867.8,1060.39,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,1082.1; 933.2; 1117.7; 943.2; 943.8; 979.6; 1006.9; 994; 953.8; 1941.8; 1944.9; 1938.1; 941.1; 947.3; 1048; 1040.9; 998.1; 944.9; 1031.7; 1050.2,ms,933.2,1944.9,1139.06,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,1191.9; 1040.5; 1222.2; 1153.2; 1051; 1084.7; 1115.8; 1098; 1062.8; 2043.6; 2048.8; 2039.9; 1047.9; 1047.9; 1151.5; 1143.8; 1106.7; 1047; 1137.4; 1162.4,ms,1040.5,2048.8,1249.85,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,109.8; 107.3; 104.5; 210; 107.2; 105.1; 108.9; 104; 109; 101.8; 103.9; 101.8; 106.8; 100.6; 103.5; 102.9; 108.6; 102.1; 105.7; 112.2,ms,100.6,210,110.78,20
